Date,Open,High,Low,Close,Volume,Adj Close
1994-11-09,73.75,74.375,73.25,74.00,10468400,13.314594
1994-11-08,71.625,73.50,71.375,73.00,7476000,13.134667
1994-11-07,71.375,72.25,70.75,71.875,9115600,12.932249
1994-11-04,73.375,73.50,71.125,71.125,12971600,12.797304
1994-11-03,74.50,74.625,73.125,73.50,6645200,13.179649
1994-11-02,74.00,75.25,73.75,74.25,10678400,13.314135
1994-11-01,74.375,75.25,73.50,73.875,10000000,13.246892
1994-10-31,75.625,75.625,74.50,74.50,7705600,13.358964
1994-10-28,74.125,76.375,74.125,76.125,10853200,13.650351
1994-10-27,74.50,74.625,73.75,74.125,4998400,13.291721
1994-10-26,74.00,74.50,73.625,74.375,9759200,13.33655
1994-10-25,72.625,74.375,72.625,73.875,11318400,13.246892
1994-10-24,74.625,74.625,72.875,73.00,10460800,13.089992
1994-10-21,74.625,75.375,74.125,74.625,13490000,13.381379
1994-10-20,75.50,76.125,73.875,75.00,20867600,13.448622
1994-10-19,74.00,75.75,73.75,75.375,15736800,13.515865
1994-10-18,73.50,74.50,73.375,74.50,9853600,13.358964
1994-10-17,72.875,73.75,72.75,73.25,6145600,13.134821
1994-10-14,72.50,73.125,71.875,73.125,8163200,13.112406
1994-10-13,73.625,74.125,72.25,72.25,9366400,12.955506
1994-10-12,71.00,73.50,71.00,73.125,12910400,13.112406
1994-10-11,71.75,72.375,71.50,71.625,11230400,12.843434
1994-10-10,71.25,71.875,70.75,71.50,7219600,12.821019
1994-10-07,68.875,71.75,68.75,71.125,17982400,12.753776
1994-10-06,69.00,69.50,68.625,68.75,7236800,12.327903
1994-10-05,68.125,69.125,67.375,69.125,10766000,12.395146
1994-10-04,69.125,69.50,68.25,68.375,6882000,12.26066
1994-10-03,69.375,69.50,68.625,68.875,4666000,12.350318
1994-09-30,69.25,70.125,68.875,69.625,8159200,12.484804
1994-09-29,68.375,69.875,67.75,69.50,9224800,12.462389
1994-09-28,69.125,69.875,68.50,68.50,5200000,12.283074
1994-09-27,68.875,69.375,68.625,69.00,4462800,12.372732
1994-09-26,69.00,69.125,67.75,69.00,7059200,12.372732
1994-09-23,69.375,69.50,68.875,69.125,7043200,12.395146
1994-09-22,69.75,70.25,69.375,69.625,8482000,12.484804
1994-09-21,71.00,71.375,69.375,69.50,14548400,12.462389
1994-09-20,69.875,70.50,69.625,70.25,10980800,12.596876
1994-09-19,70.625,71.25,70.25,70.375,7394000,12.61929
1994-09-16,69.75,71.375,69.50,71.00,20598400,12.731362
1994-09-15,69.50,70.25,69.50,69.75,8228400,12.507218
1994-09-14,69.125,70.125,69.00,69.75,10146000,12.507218
1994-09-13,68.75,69.625,68.625,69.25,11616800,12.417561
1994-09-12,67.50,68.125,67.50,67.875,4823600,12.171003
1994-09-09,66.875,68.00,66.75,67.25,9236800,12.058931
1994-09-08,67.25,68.125,67.25,67.875,5457200,12.171003
1994-09-07,67.50,68.25,67.375,67.50,8123200,12.10376
1994-09-06,67.125,67.625,66.625,67.50,4985200,12.10376
1994-09-02,68.00,68.00,66.75,67.25,5858800,12.058931
1994-09-01,66.875,68.25,66.875,67.875,11114000,12.171003
1994-08-31,69.25,69.50,68.50,68.50,9886800,12.283074
1994-08-30,69.375,69.75,68.875,69.375,7486000,12.439975
1994-08-29,69.75,70.00,69.25,69.375,9257600,12.439975
1994-08-26,69.375,70.125,69.125,70.00,16576400,12.552047
1994-08-25,67.00,69.75,66.875,69.375,21095600,12.439975
1994-08-24,67.375,67.375,66.625,67.375,11196800,12.081345
1994-08-23,67.875,68.25,67.625,67.625,11645200,12.126174
1994-08-22,67.50,68.375,67.25,67.75,11882400,12.148588
1994-08-19,66.375,68.625,66.00,68.125,18653600,12.215831
1994-08-18,65.375,66.875,65.375,66.25,16787200,11.879616
1994-08-17,64.875,65.625,64.375,64.875,11780800,11.633058
